source_run,condition_id,condition_state,run_type,scenario_key,persona_key,message_count,agent_a_turn_count,agent_b_turn_count,memory_snapshot_count,candidate_count,unique_route_count,state_task_variable_agreement,active_constraint_agreement,current_route_agreement,agent_a_constraint_count,agent_b_constraint_count,agent_a_clarification_count,agent_b_clarification_count,final_agent_a_focus,final_agent_b_focus,focus_disagreement_count
20260710_195601_b-n0001_02,C-CEE-DST-HESIT-PIP-FWH-Q05-DEFAU-SML-I0-db6b076adf-A,completed,audio_variant,crowded_event_exit,delay_sensitive_traveler,9,5,4,9,4,4,0.6666666666666666,1.0,1.0,3,3,0,0,reliability,confirmation,6
20260710_200803_b-n0001,C-MT-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-c60b89701d-A,completed,audio_variant,midday_transfer,risk_averse_novice,19,10,9,19,0,0,0.3333333333333333,1.0,1.0,0,0,6,0,route,route,2
20260710_200831_b-n0001_02,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-A,completed,audio_variant,morning_peak_cross_city,crowd_averse_rider,5,3,2,5,0,0,0.0,1.0,1.0,0,0,1,0,route,route,0
20260710_201032_b-n0001,C-CEE-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-2aa0006b49-T,completed,text_only,crowded_event_exit,risk_averse_novice,15,8,7,15,4,4,0.6666666666666666,1.0,0.0,2,2,0,0,transfers,reliability,9
20260710_201202_b-n0001,C-MPCC-DST-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-9316a45235-T,completed,text_only,morning_peak_cross_city,delay_sensitive_traveler,11,6,5,11,4,4,1.0,1.0,1.0,3,3,0,0,reliability,confirmation,7
20260710_201202_b-n0001_02,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-3007c4b4eb-T,completed,text_only,morning_peak_cross_city,delay_sensitive_traveler,13,7,6,13,6,5,1.0,1.0,1.0,3,3,0,0,reliability,confirmation,10
20260710_201833_b-n0001,C-AC-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-83ccbc5057-T,completed,text_only,airport_connection,crowd_averse_rider,9,5,4,9,4,4,1.0,1.0,1.0,3,3,0,0,reliability,confirmation,4
20260710_201933_b-n0001,C-CEE-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-2aa0006b49-A,completed,audio_variant,crowded_event_exit,risk_averse_novice,9,5,4,9,0,0,0.0,1.0,1.0,0,0,2,0,time,route,2
20260710_202103_b-n0001,C-MPCC-DST-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-9316a45235-A,completed,audio_variant,morning_peak_cross_city,delay_sensitive_traveler,13,7,6,13,4,3,1.0,1.0,1.0,3,3,2,0,route,confirmation,9
20260710_202234_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-3007c4b4eb-A,completed,audio_variant,morning_peak_cross_city,delay_sensitive_traveler,20,10,10,20,6,2,1.0,0.0,0.0,3,2,3,0,transfers,route,14
20260710_202403_b-n0001,C-MPCC-FC-MC-PIP-FWH-Q05-DEFAU-SML-I0-8e28cf1b51-T,completed,text_only,morning_peak_cross_city,focused_commuter,9,5,4,9,4,4,1.0,1.0,1.0,3,3,0,0,transfers,confirmation,7
20260710_202804_b-n0001,C-AC-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-83ccbc5057-A,completed,audio_variant,airport_connection,crowd_averse_rider,11,6,5,11,4,4,1.0,1.0,1.0,3,3,1,0,reliability,confirmation,6
